study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	0.0	hr	NA	0.0	NA	NA	NA	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	0.5	hr	NA	0.857188571428571	1.63	0.772811428571429	0.223091443159267	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	1.0	hr	NA	1.94306285714285	2.74	0.79693714285715	0.230055936977893	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	2.0	hr	NA	3.25753142857142	4.16	0.90246857142858	0.260520236324734	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	3.0	hr	NA	3.65766857142857	4.61	0.95233142857143	0.274914403321728	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	4.0	hr	NA	3.35787428571428	4.29	0.93212571428572	0.269081516030716	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	6.0	hr	NA	2.444	3.06	0.616	0.177823882910405	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	9.0	hr	NA	1.47309714285714	1.99	0.51690285714286	0.149217001858158	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	12.0	hr	NA	0.959451428571429	1.29	0.330548571428571	0.0954211533472659	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	24.0	hr	NA	0.40358857142857	0.62	0.21641142857143	0.0624725982707133	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	36.0	hr	NA	0.304685714285714	0.42	0.115314285714286	0.0332883669492762	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	48.0	hr	NA	0.0499428571428577	0.19	0.140057142857142	0.0404310145652505	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	60.0	hr	NA	0.0380114285714299	0.17	0.13198857142857	0.0381018186221196	IU/ml	single
Cui2013	API10	12.0	API10	Anti-factor Xa activity	NA	plasma	coagulation assay	antiXa_activity_API10	72.0	hr	NA	0.0261485714285729	0.15	0.123851428571427	0.0357528278126166	IU/ml	single
