study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	geomean	sd	se	min	max	cv	unit	comments
Frost2014a	NA	all	21.0	API10	cmax	apixaban	plasma	LC MS/MS	API10_cmax_all_apixaban	NA	NA	NA	NA	175.0	NA	NA	NA	NA	22.0	ng/ml	NA
Frost2014a	NA	all	21.0	API10	tmax	apixaban	plasma	LC MS/MS	API10_tmax_all_apixaban	NA	NA	NA	3.0	NA	NA	NA	1.0	4.0	NA	hr	NA
Frost2014a	NA	all	21.0	API10	auc_end	apixaban	plasma	LC MS/MS	API10_auc_end_all_apixaban	72.0	hr	NA	NA	1651.0	NA	NA	NA	NA	25.0	ng/ml*hr	NA
Frost2014a	NA	all	21.0	API10	auc_inf	apixaban	plasma	LC MS/MS	API10_auc_inf_all_apixaban	NA	NA	NA	NA	1693.0	NA	NA	NA	NA	24.0	ng/ml*hr	NA
Frost2014a	NA	all	21.0	API10	thalf	apixaban	plasma	LC MS/MS	API10_thalf_all_apixaban	NA	NA	13.0	NA	NA	5.6	NA	NA	NA	NA	hr	NA
Frost2014a	NA	all	21.0	API10, NAPR500	cmax	apixaban	plasma	LC MS/MS	API10, NAPR500_cmax_all_apixaban	NA	NA	NA	NA	1.611	NA	NA	NA	NA	22.0	ng/ml	NA
Frost2014a	NA	all	21.0	API10, NAPR500	tmax	apixaban	plasma	LC MS/MS	API10, NAPR500_tmax_all_apixaban	NA	NA	NA	3.0	NA	NA	NA	1.0	4.0	NA	hr	NA
Frost2014a	NA	all	21.0	API10, NAPR500	auc_end	apixaban	plasma	LC MS/MS	API10, NAPR500_auc_end_all_apixaban	72.0	hr	NA	NA	1.549	NA	NA	NA	NA	24.0	ng/ml*hr	NA
Frost2014a	NA	all	21.0	API10, NAPR500	auc_inf	apixaban	plasma	LC MS/MS	API10, NAPR500_auc_inf_all_apixaban	NA	NA	NA	NA	1.537	NA	NA	NA	NA	24.0	ng/ml*hr	NA
Frost2014a	NA	all	21.0	API10, NAPR500	thalf	apixaban	plasma	LC MS/MS	API10, NAPR500_thalf_all_apixaban	NA	NA	13.0	NA	NA	4.1	NA	NA	NA	NA	hr	NA
Frost2014a	NA	all	21.0	NAPR500	cmax	naproxen	plasma	LC MS/MS	NAPR500_cmax_all_naproxen	NA	NA	NA	NA	67.4	NA	NA	NA	NA	14.0	ng/ml	NA
Frost2014a	NA	all	21.0	NAPR500	tmax	naproxen	plasma	LC MS/MS	NAPR500_tmax_all_naproxen	NA	NA	NA	2.0	NA	NA	NA	1.0	4.0	NA	hr	NA
Frost2014a	NA	all	21.0	NAPR500	auc_end	naproxen	plasma	LC MS/MS	NAPR500_auc_end_all_naproxen	72.0	hr	NA	NA	1058.0	NA	NA	NA	NA	11.0	ng/ml*hr	NA
Frost2014a	NA	all	21.0	NAPR500	auc_inf	naproxen	plasma	LC MS/MS	NAPR500_auc_inf_all_naproxen	NA	NA	NA	NA	1138.0	NA	NA	NA	NA	12.0	ng/ml*hr	NA
Frost2014a	NA	all	21.0	NAPR500	thalf	naproxen	plasma	LC MS/MS	NAPR500_thalf_all_naproxen	NA	NA	20.0	NA	NA	2.8	NA	NA	NA	NA	hr	NA
Frost2014a	NA	all	21.0	API10, NAPR500	cmax	naproxen	plasma	LC MS/MS	API10, NAPR500_cmax_all_naproxen	NA	NA	NA	NA	67.7	NA	NA	NA	NA	15.0	ng/ml	NA
Frost2014a	NA	all	21.0	API10, NAPR500	tmax	naproxen	plasma	LC MS/MS	API10, NAPR500_tmax_all_naproxen	NA	NA	NA	2.0	NA	NA	NA	1.0	4.0	11.0	hr	NA
Frost2014a	NA	all	21.0	API10, NAPR500	auc_end	naproxen	plasma	LC MS/MS	API10, NAPR500_auc_end_all_naproxen	72.0	hr	NA	NA	1051.0	NA	NA	NA	NA	13.0	ng/ml*hr	NA
Frost2014a	NA	all	21.0	API10, NAPR500	auc_inf	naproxen	plasma	LC MS/MS	API10, NAPR500_auc_inf_all_naproxen	NA	NA	NA	NA	1126.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Frost2014a	NA	all	21.0	API10, NAPR500	thalf	naproxen	plasma	LC MS/MS	API10, NAPR500_thalf_all_naproxen	NA	NA	19.0	NA	NA	2.4	NA	NA	NA	NA	hr	NA
